Time,Current,Filtered,Current.1,filtered_current
0.105004,6.076095e-10,,,7.48412683282303e-12
0.106004,6.066433e-10,,,7.464178777804464e-12
0.107004,6.066433e-10,,,7.422783502997723e-12
0.108004,6.069654e-10,,,7.34921096416401e-12
0.109004,6.066433e-10,,,7.29715382830906e-12
0.110004,6.069654e-10,,,7.255868872034032e-12
0.111004,6.069654e-10,,,7.1931460344896406e-12
0.112004,6.069654e-10,,,7.141204790210429e-12
0.113004,6.069654e-10,,,7.078571728403567e-12
0.114004,6.066433e-10,,,7.037457291855496e-12
0.115004,6.072875e-10,,,6.9963587628763425e-12
0.116004,6.072875e-10,,,6.976752543300051e-12
0.117004,6.066433e-10,,,6.946457828857508e-12
0.118004,6.066433e-10,,,6.905442502456642e-12
0.119004,6.066433e-10,,,6.8751798713110646e-12
0.120004,6.072875e-10,,,6.855694976971414e-12
0.121004,6.066433e-10,,,6.814768827098658e-12
0.122004,6.063213e-10,,,6.7738772378108194e-12
0.123004,6.059992e-10,,,6.7545092928312825e-12
0.124004,6.063213e-10,,,6.703007352271176e-12
0.125004,6.059992e-10,,,6.67300974725272e-12
0.126004,6.059992e-10,,,6.6323092414837935e-12
0.127004,6.056771e-10,,,6.591633293114197e-12
0.128004,6.063213e-10,,,6.529521263832193e-12
0.129004,6.063213e-10,,,6.467452743938059e-12
0.130004,6.066433e-10,,,6.4161643266185425e-12
0.131004,6.066433e-10,,,6.354163598947054e-12
0.132004,6.059992e-10,,,6.281469762773857e-12
0.133004,6.063213e-10,,,6.241029159516027e-12
0.134004,6.066433e-10,,,6.179177085160995e-12
0.135004,6.063213e-10,,,6.13882272670654e-12
0.136004,6.053551e-10,,,6.066291544123723e-12
0.137004,6.059992e-10,,,6.025994157954463e-12
0.138004,6.053551e-10,,,5.996444543597035e-12
0.139004,6.056771e-10,,,5.9776457669366156e-12
0.140004,6.056771e-10,,,5.926641836695517e-12
0.141004,6.056771e-10,,,5.864918710769589e-12
0.142004,6.05033e-10,,,5.8353975454898706e-12
0.143004,6.05033e-10,,,5.805890243154404e-12
0.144004,6.05033e-10,,,5.733481756110833e-12
0.145004,6.053551e-10,,,5.6718301570184285e-12
0.146004,6.05033e-10,,,5.5994872505236676e-12
0.147004,6.053551e-10,,,5.516434229621082e-12
0.148004,6.047109e-10,,,5.476354120877169e-12
0.149004,6.053551e-10,,,5.425579432868933e-12
0.150004,6.05033e-10,,,5.342624252441412e-12
0.151004,6.053551e-10,,,5.2919049114319104e-12
0.152004,6.053551e-10,,,5.2626691243372774e-12
0.153004,6.053551e-10,,,5.211958231656033e-12
0.154004,6.047109e-10,,,5.193448671033375e-12
0.155004,6.040668e-10,,,5.153482639697079e-12
0.156004,6.05033e-10,,,5.124257128525986e-12
0.157004,6.047109e-10,,,5.0843084504969894e-12
0.158004,6.040668e-10,,,5.055109679255589e-12
0.159004,6.043888e-10,,,5.015187463306026e-12
0.160004,6.043888e-10,,,4.975287596559341e-12
0.161004,6.040668e-10,,,4.935410284768948e-12
0.162004,6.047109e-10,,,4.906292160191895e-12
0.163004,6.047109e-10,,,4.866459616573372e-12
0.164004,6.040668e-10,,,4.848103918388096e-12
0.165004,6.047109e-10,,,4.7975791060240645e-12
0.166004,6.043888e-10,,,4.7792828705782275e-12
0.167004,6.043888e-10,,,4.718065416531592e-12
0.168004,6.047109e-10,,,4.678343613957683e-12
0.169004,6.043888e-10,,,4.638643859500382e-12
0.170004,6.047109e-10,,,4.631163954440431e-12
0.171004,6.043888e-10,,,4.645166978350417e-12
0.172004,6.040668e-10,,,4.616243148582325e-12
0.173004,6.037447e-10,,,4.576586268718187e-12
0.174004,6.037447e-10,,,4.590618471255939e-12
0.175004,6.040668e-10,,,4.572460207693848e-12
0.176004,6.040668e-10,,,4.5543053076890165e-12
0.177004,6.040668e-10,,,4.525426351651378e-12
0.178004,6.040668e-10,,,4.485832559902408e-12
0.179004,6.037447e-10,,,4.456988004289114e-12
0.180004,6.043888e-10,,,4.4496257670433185e-12
0.181004,6.034226e-10,,,4.4208150484554984e-12
0.182004,6.040668e-10,,,4.402753509319897e-12
0.183004,6.040668e-10,,,4.384713663890839e-12
0.184004,6.043888e-10,,,4.34520399500777e-12
0.185004,6.043888e-10,,,4.348641167908481e-12
0.186004,6.040668e-10,,,4.341336004518171e-12
0.187004,6.034226e-10,,,4.3233010212005875e-12
0.188004,6.043888e-10,,,4.315984789843671e-12
0.189004,6.037447e-10,,,4.330145189264276e-12
0.190004,6.037447e-10,,,4.333554155854913e-12
0.191004,6.031006e-10,,,4.326220856823098e-12
0.192004,6.034226e-10,,,4.318881972827539e-12
0.193004,6.037447e-10,,,4.322273957751221e-12
0.194004,6.037447e-10,,,4.314914604950427e-12
0.195004,6.037447e-10,,,4.329022824355216e-12
0.196004,6.037447e-10,,,4.310909534468675e-12
0.197004,6.037447e-10,,,4.30351832091981e-12
0.198004,6.034226e-10,,,4.296118296251101e-12
0.199004,6.043888e-10,,,4.299440398293479e-12
0.200004,6.043888e-10,,,4.281287281512156e-12
0.201004,6.037447e-10,,,4.273847730853198e-12
0.202004,6.037447e-10,,,4.266399668453048e-12
0.203004,6.040668e-10,,,4.2804019089328e-12
0.204004,6.037447e-10,,,4.262156422237717e-12
0.205004,6.037447e-10,,,4.265358004844942e-12
0.206004,6.037447e-10,,,4.268527676425047e-12
0.207004,6.040668e-10,,,4.293126700755079e-12
0.208004,6.037447e-10,,,4.31769726866645e-12
0.209004,6.040668e-10,,,4.320762770292291e-12
0.210004,6.037447e-10,,,4.323796375286218e-12
0.211004,6.031006e-10,,,4.316052712302699e-12
0.212004,6.037447e-10,,,4.308277493733825e-12
0.213004,6.040668e-10,,,4.300470775763948e-12
0.214004,6.037447e-10,,,4.3033869837535574e-12
0.215004,6.040668e-10,,,4.284802008262043e-12
0.216004,6.037447e-10,,,4.255457966663125e-12
0.217004,6.037447e-10,,,4.258280789193677e-12
0.218004,6.037447e-10,,,4.261072810446137e-12
0.219004,6.037447e-10,,,4.253070862774088e-12
0.220004,6.037447e-10,,,4.245038026559132e-12
0.221004,6.037447e-10,,,4.2477110227569375e-12
0.222004,6.040668e-10,,,4.239599201630637e-12
0.223004,6.037447e-10,,,4.231439093510329e-12
0.224004,6.037447e-10,,,4.212506335621794e-12
0.225004,6.034226e-10,,,4.1827801187896024e-12
0.226004,6.034226e-10,,,4.174467205833062e-12
0.227004,6.034226e-10,,,4.155369891945435e-12
0.228004,6.034226e-10,,,4.136219613503339e-12
0.229004,6.037447e-10,,,4.1170270713066085e-12
0.230004,6.034226e-10,,,4.0870452865243895e-12
0.231004,6.037447e-10,,,4.0570423889092395e-12
0.232004,6.037447e-10,,,4.037720407630552e-12
0.233004,6.037447e-10,,,4.018360198688666e-12
0.234004,6.034226e-10,,,3.998944620541956e-12
0.235004,6.037447e-10,,,3.968745694777335e-12
0.236004,6.034226e-10,,,3.949245422121601e-12
0.237004,6.037447e-10,,,3.940432161778195e-12
0.238004,6.031006e-10,,,3.899357204603297e-12
0.239004,6.031006e-10,,,3.879700641772464e-12
0.240004,6.034226e-10,,,3.84922667395966e-12
0.241004,6.024564e-10,,,3.829434636298061e-12
0.242004,6.031006e-10,,,3.7881094069389546e-12
0.243004,6.034226e-10,,,3.76819962856987e-12
0.244004,6.027785e-10,,,3.7267566506988204e-12
0.245004,6.031006e-10,,,3.685264713488615e-12
0.246004,6.031006e-10,,,3.64371331143674e-12
0.247004,6.031006e-10,,,3.5699236840451423e-12
0.248004,6.031006e-10,,,3.528295532602025e-12
0.249004,6.027785e-10,,,3.4759061345686622e-12
0.250004,6.031006e-10,,,3.444924485199354e-12
0.251004,6.034226e-10,,,3.403144019126908e-12
0.252004,6.027785e-10,,,3.361322207953939e-12
0.253004,6.031006e-10,,,3.30871044749521e-12
0.254004,6.027785e-10,,,3.298985490978901e-12
0.255004,6.027785e-10,,,3.2784709602590785e-12
0.256004,6.021344e-10,,,3.2471618227178038e-12
0.257004,6.027785e-10,,,3.237273288400011e-12
0.258004,6.021344e-10,,,3.1951391944756282e-12
0.259004,6.024564e-10,,,3.1422105584311407e-12
0.260004,6.021344e-10,,,3.099988462623489e-12
0.261004,6.014902e-10,,,3.025507081758854e-12
0.262004,6.024564e-10,,,2.97246901548282e-12
0.263004,6.021344e-10,,,2.91939569706809e-12
0.264004,6.024564e-10,,,2.8770326551932687e-12
0.265004,6.024564e-10,,,2.8239013360582126e-12
0.266004,6.021344e-10,,,2.759989873058212e-12
0.267004,6.021344e-10,,,2.7067804552497564e-12
0.268004,6.027785e-10,,,2.675014843444452e-12
0.269004,6.024564e-10,,,2.611008047126879e-12
0.270004,6.024564e-10,,,2.568453909066493e-12
0.271004,6.021344e-10,,,2.5473470352905234e-12
0.272004,6.018123e-10,,,2.526194302376369e-12
0.273004,6.018123e-10,,,2.4835289140892383e-12
0.274004,6.014902e-10,,,2.430084271108666e-12
0.275004,6.008461e-10,,,2.3766004406214566e-12
0.276004,6.014902e-10,,,2.32308766450481e-12
0.277004,6.014902e-10,,,2.301750604355787e-12
0.278004,6.018123e-10,,,2.248181353134492e-12
0.279004,6.011682e-10,,,2.194566482465398e-12
0.280004,6.011682e-10,,,2.1302013418252134e-12
0.281004,6.018123e-10,,,2.0765476669736265e-12
0.282004,6.018123e-10,,,2.0013954972644194e-12
0.283004,6.011682e-10,,,1.947704758877797e-12
0.284004,6.014902e-10,,,1.8832555913119097e-12
0.285004,6.021344e-10,,,1.829526494394903e-12
0.286004,6.014902e-10,,,1.7865342042273278e-12
0.287004,6.014902e-10,,,1.7435385257069238e-12
0.288004,6.00524e-10,,,1.7005178616100808e-12
0.289004,6.008461e-10,,,1.657480684887162e-12
0.290004,6.00524e-10,,,1.6036852601545004e-12
0.291004,6.008461e-10,,,1.592821411487984e-12
0.292004,6.008461e-10,,,1.5390009337596e-12
0.293004,6.00524e-10,,,1.506633852864545e-12
0.294004,6.00524e-10,,,1.4527968016975313e-12
0.295004,6.008461e-10,,,1.4096931136916557e-12
0.296004,5.998799e-10,,,1.3773425141369475e-12
0.297004,6.00524e-10,,,1.312801833985634e-12
0.298004,6.008461e-10,,,1.248269342130776e-12
0.299004,6.008461e-10,,,1.2159437068533577e-12
0.300004,6.011682e-10,,,1.1621482610433138e-12
0.301004,6.008461e-10,,,1.1083658098984369e-12
0.302004,6.00524e-10,,,1.0546198809165381e-12
0.303004,6.00524e-10,,,1.000882445019099e-12
0.304004,5.998799e-10,,,9.901049658565548e-13
0.305004,6.00524e-10,,,9.578788911155381e-13
0.306004,5.998799e-10,,,9.364139937112588e-13
0.307004,6.00524e-10,,,8.82758589082498e-13
0.308004,6.00202e-10,,,8.291195055918645e-13
0.309004,5.998799e-10,,,7.755131374978354e-13
0.310004,6.00202e-10,,,7.434092444193908e-13
0.311004,5.998799e-10,,,7.006175045296321e-13
0.312004,5.998799e-10,,,6.90073080056138e-13
0.313004,6.00202e-10,,,6.473493557136212e-13
0.314004,5.998799e-10,,,5.93929502947394e-13
0.315004,6.00524e-10,,,5.190848724073756e-13
0.316004,5.998799e-10,,,4.657585376859514e-13
0.317004,5.998799e-10,,,4.1247550933675997e-13
0.318004,6.00202e-10,,,3.8071888416319565e-13
0.319004,5.998799e-10,,,3.4901052259659335e-13
0.320004,5.998799e-10,,,3.280950669923417e-13
0.321004,5.992358e-10,,,3.0721931389635225e-13
0.322004,5.992358e-10,,,2.971247558264258e-13
0.323004,5.989137e-10,,,2.548746543781704e-13
0.324004,5.995578e-10,,,2.2341344506718193e-13
0.325004,5.995578e-10,,,2.2421437838096415e-13
0.326004,5.995578e-10,,,1.9284764646801036e-13
0.327004,5.992358e-10,,,1.9372671089219378e-13
0.328004,5.992358e-10,,,1.9466884609492873e-13
0.329004,5.985916e-10,,,1.9569031043278157e-13
0.330004,5.995578e-10,,,1.8605431904878643e-13
0.331004,5.992358e-10,,,1.6573959558819018e-13
0.332004,5.995578e-10,,,1.9917219241529584e-13
0.333004,5.995578e-10,,,2.2193903478104815e-13
0.334004,5.992358e-10,,,2.447844676484916e-13
0.335004,5.998799e-10,,,3.1062765247095087e-13
0.336004,5.995578e-10,,,3.6578832828464817e-13
0.337004,5.992358e-10,,,4.5321769366160895e-13
0.338004,5.992358e-10,,,5.514537790635609e-13
0.339004,5.998799e-10,,,6.604963013999163e-13
0.340004,5.992358e-10,,,7.3738578861545e-13
0.341004,5.998799e-10,,,8.465353164206904e-13
0.342004,5.998799e-10,,,9.557541555669704e-13
0.343004,6.00202e-10,,,1.0543134477760782e-12
0.344004,5.995578e-10,,,1.1744276533058553e-12
0.345004,5.998799e-10,,,1.3482906689510736e-12
0.346004,6.008461e-10,,,1.4900076553693286e-12
0.347004,6.00524e-10,,,1.6532709691957098e-12
0.348004,6.008461e-10,,,1.7951326167904406e-12
0.349004,6.018123e-10,,,1.9478072205165704e-12
0.350004,6.014902e-10,,,2.1220244926759474e-12
0.351004,6.018123e-10,,,2.2855843233546317e-12
0.352004,6.021344e-10,,,2.470685409611837e-12
0.353004,6.021344e-10,,,2.655858841024029e-12
0.354004,6.018123e-10,,,2.8518363080473425e-12
0.355004,6.027785e-10,,,3.026403207273841e-12
0.356004,6.027785e-10,,,3.2332361205541537e-12
0.357004,6.021344e-10,,,3.4079452939993987e-12
0.358004,6.027785e-10,,,3.5934577682846245e-12
0.359004,6.037447e-10,,,3.757563448796109e-12
0.360004,6.037447e-10,,,3.9432089077879296e-12
0.361004,6.040668e-10,,,4.11818405104804e-12
0.362004,6.037447e-10,,,4.282480810319695e-12
0.363004,6.040668e-10,,,4.4575961708103966e-12
0.364004,6.043888e-10,,,4.61131521327722e-12
0.365004,6.047109e-10,,,4.765115963178713e-12
0.366004,6.05033e-10,,,4.908261464681662e-12
0.367004,6.047109e-10,,,5.062209216308239e-12
0.368004,6.05033e-10,,,5.205485792454923e-12
0.369004,6.05033e-10,,,5.348827595576876e-12
0.370004,6.053551e-10,,,5.513704706179015e-12
0.371004,6.05033e-10,,,5.646440194271878e-12
0.372004,6.053551e-10,,,5.789969384296867e-12
0.373004,6.05033e-10,,,5.933555361774505e-12
0.374004,6.05033e-10,,,6.055720141993199e-12
0.375004,6.05033e-10,,,6.1564682253571244e-12
0.376004,6.056771e-10,,,6.2572960373016864e-12
0.377004,6.056771e-10,,,6.358179970229734e-12
0.378004,6.053551e-10,,,6.448386783876422e-12
0.379004,6.063213e-10,,,6.527913067748359e-12
0.380004,6.056771e-10,,,6.607502944166773e-12
0.381004,6.063213e-10,,,6.676411962534309e-12
0.382004,6.063213e-10,,,6.7346632862494214e-12
0.383004,6.063213e-10,,,6.803699230748177e-12
0.384004,6.066433e-10,,,6.8620539118715896e-12
0.385004,6.066433e-10,,,6.9311930789416015e-12
0.386004,6.069654e-10,,,6.989651003081334e-12
0.387004,6.063213e-10,,,7.058900606881062e-12
0.388004,6.063213e-10,,,7.117460657159785e-12
0.389004,6.066433e-10,,,7.165326774237662e-12
0.390004,6.066433e-10,,,7.2347098845546206e-12
0.391004,6.069654e-10,,,7.293418542456055e-12
0.392004,6.063213e-10,,,7.319970724518399e-12
0.393004,6.063213e-10,,,7.368031907115631e-12
0.394004,6.066433e-10,,,7.405395206769009e-12
0.395004,6.066433e-10,,,7.410605979149267e-12
0.396004,6.066433e-10,,,7.437328757184012e-12
0.397004,6.066433e-10,,,7.442616989487936e-12
0.398004,6.066433e-10,,,7.458684896204396e-12
0.399004,6.069654e-10,,,7.464065584780011e-12
0.400004,6.069654e-10,,,7.458774345568767e-12
0.401004,6.069654e-10,,,7.453521502011044e-12
0.402004,6.069654e-10,,,7.448311253663972e-12
0.403004,6.063213e-10,,,7.453890951220185e-12
0.404004,6.069654e-10,,,7.47025719113813e-12
0.405004,6.066433e-10,,,7.465202339335156e-12
0.406004,6.063213e-10,,,7.460154710868917e-12
0.407004,6.069654e-10,,,7.422927131264232e-12
0.408004,6.063213e-10,,,7.407207276730791e-12
0.409004,6.063213e-10,,,7.402254220922016e-12
0.410004,6.063213e-10,,,7.354390933071864e-12
0.411004,6.063213e-10,,,7.328042607975971e-12
0.412004,6.066433e-10,,,7.290975418771794e-12
0.413004,6.063213e-10,,,7.2539457384142625e-12
0.414004,6.063213e-10,,,7.238423194373754e-12
0.415004,6.063213e-10,,,7.190731398049177e-12
0.416004,6.066433e-10,,,7.143084313716838e-12
0.417004,6.063213e-10,,,7.116929056420837e-12
0.418004,6.066433e-10,,,7.090795601334062e-12
0.419004,6.063213e-10,,,7.075424907275852e-12
0.420004,6.063213e-10,,,7.049342627109997e-12
0.421004,6.056771e-10,,,7.0017893062838405e-12
0.422004,6.056771e-10,,,6.986453558269295e-12
0.423004,6.059992e-10,,,6.938928702159146e-12
0.424004,6.05033e-10,,,6.902143764923873e-12
0.425004,6.056771e-10,,,6.865365248671174e-12
0.426004,6.053551e-10,,,6.817871554472983e-12
0.427004,6.053551e-10,,,6.770406934171142e-12
0.428004,6.059992e-10,,,6.701486303391316e-12
0.429004,6.053551e-10,,,6.643312823811784e-12
0.430004,6.053551e-10,,,6.5958822224255615e-12
0.431004,6.059992e-10,,,6.537728908704151e-12
0.432004,6.059992e-10,,,6.468856045028008e-12
0.433004,6.056771e-10,,,6.421451799815244e-12
0.434004,6.059992e-10,,,6.352576181265139e-12
0.435004,6.05033e-10,,,6.294432685184394e-12
0.436004,6.056771e-10,,,6.25778384594204e-12
0.437004,6.053551e-10,,,6.221133795473315e-12
0.438004,6.05033e-10,,,6.1844973302456634e-12
0.439004,6.05033e-10,,,6.115667926661152e-12
0.440004,6.047109e-10,,,6.100499061510005e-12
0.441004,6.047109e-10,,,6.0638513179759124e-12
0.442004,6.043888e-10,,,6.016473104059453e-12
0.443004,6.043888e-10,,,5.979837750506852e-12
0.444004,6.047109e-10,,,5.910979522407658e-12
0.445004,6.043888e-10,,,5.8528608317121464e-12
0.446004,6.043888e-10,,,5.794733328471097e-12
0.447004,6.047109e-10,,,5.736607867276685e-12
0.448004,6.043888e-10,,,5.6677371121250685e-12
