Time,Current,Filtered,Current.1
0.228,6.443253e-10,,
0.229,6.446474e-10,,
0.23,6.443253e-10,,
0.231,6.443253e-10,,
0.232,6.440032e-10,,
0.233,6.440032e-10,,
0.234,6.440032e-10,,
0.235,6.436812e-10,,
0.236,6.436812e-10,,
0.237,6.440032e-10,,
0.238,6.440032e-10,,
0.239,6.436812e-10,,
0.24,6.43037e-10,,
0.241,6.436812e-10,,
0.242,6.433591e-10,,
0.243,6.433591e-10,,
0.244,6.433591e-10,,
0.245,6.43037e-10,,
0.246,6.43037e-10,,
0.247,6.42715e-10,,
0.248,6.420708e-10,,
0.249,6.420708e-10,,
0.25,6.42715e-10,,
0.251,6.423929e-10,,
0.252,6.423929e-10,,
0.253,6.423929e-10,,
0.254,6.420708e-10,,
0.255,6.423929e-10,,
0.256,6.420708e-10,,
0.257,6.420708e-10,,
0.258,6.417488e-10,,
0.259,6.417488e-10,,
0.26,6.417488e-10,,
0.261,6.411046e-10,,
0.262,6.411046e-10,,
0.263,6.407825e-10,,
0.264,6.407825e-10,,
0.265,6.407825e-10,,
0.266,6.404605e-10,,
0.267,6.404605e-10,,
0.268,6.404605e-10,,
0.269,6.398163e-10,,
0.27,6.404605e-10,,
0.271,6.398163e-10,,
0.272,6.404605e-10,,
0.273,6.404605e-10,,
0.274,6.401384e-10,,
0.275,6.401384e-10,,
0.276,6.401384e-10,,
0.277,6.398163e-10,,
0.278,6.391722e-10,,
0.279,6.394943e-10,,
0.28,6.391722e-10,,
0.281,6.391722e-10,,
0.282,6.391722e-10,,
0.283,6.394943e-10,,
0.284,6.391722e-10,,
0.285,6.388501e-10,,
0.286,6.391722e-10,,
0.287,6.38206e-10,,
0.288,6.391722e-10,,
0.289,6.388501e-10,,
0.29,6.385281e-10,,
0.291,6.385281e-10,,
0.292,6.38206e-10,,
0.293,6.385281e-10,,
0.294,6.38206e-10,,
0.295,6.38206e-10,,
0.296,6.38206e-10,,
0.297,6.378839e-10,,
0.298,6.375619e-10,,
0.299,6.375619e-10,,
0.3,6.369177e-10,,
0.301,6.378839e-10,,
0.302,6.375619e-10,,
0.303,6.372398e-10,,
0.304,6.375619e-10,,
0.305,6.372398e-10,,
0.306,6.372398e-10,,
0.307,6.369177e-10,,
0.308,6.372398e-10,,
0.309,6.369177e-10,,
0.31,6.372398e-10,,
0.311,6.372398e-10,,
0.312,6.362736e-10,,
0.313,6.365957e-10,,
0.314,6.365957e-10,,
0.315,6.362736e-10,,
0.316,6.365957e-10,,
0.317,6.365957e-10,,
0.318,6.359515e-10,,
0.319,6.362736e-10,,
0.32,6.365957e-10,,
0.321,6.365957e-10,,
0.322,6.362736e-10,,
0.323,6.369177e-10,,
0.324,6.365957e-10,,
0.325,6.362736e-10,,
0.326,6.362736e-10,,
0.327,6.359515e-10,,
0.328,6.362736e-10,,
0.329,6.359515e-10,,
0.33,6.362736e-10,,
0.331,6.356295e-10,,
0.332,6.353074e-10,,
0.333,6.356295e-10,,
0.334,6.359515e-10,,
0.335,6.359515e-10,,
0.336,6.359515e-10,,
0.337,6.362736e-10,,
0.338,6.359515e-10,,
0.339,6.359515e-10,,
0.34,6.359515e-10,,
0.341,6.359515e-10,,
0.342,6.359515e-10,,
0.343,6.356295e-10,,
0.344,6.356295e-10,,
0.345,6.349853e-10,,
