Track name_x,Artist name_x,Album_x,Playlist name_x,Type_x,ISRC,Track name_y,Artist name_y,Album_y,Playlist name_y,Type_y,_merge
I Don't Care,Ed Sheeran,No.6 Collaborations Project [Explicit],Moi,Playlist,GBAHS1900673,,,,,,left_only
Perfect Duet (with Beyoncé),Ed Sheeran,Perfect Duet (with Beyoncé),Moi,Playlist,GBAHS1701211,,,,,,left_only
Beautiful People (feat. Khalid),Ed Sheeran,No.6 Collaborations Project [Explicit],Moi,Playlist,GBAHS1900713,,,,,,left_only
My Universe,Coldplay,My Universe,Moi,Playlist,GBAYE2100779,,,,,,left_only
November Rain (2022 Version),Guns N' Roses,Use Your Illusion (Super Deluxe) [Explicit],Moi,Playlist,USUG12200195,,,,,,left_only
About Damn Time [Explicit],Lizzo,Special [Explicit],Moi,Playlist,USAT22203704,,,,,,left_only
Thunderous -Japanese version-,Stray Kids,THE SOUND,Moi,Playlist,JPU902102762,,,,,,left_only
God's Menu (Japanese version),Stray Kids,ALL IN,Moi,Playlist,JPU902002487,,,,,,left_only
How You Like That (Japan Version) [Explicit],BLACKPINK,How You Like That (Japan Version),Moi,Playlist,JPPO02101159,,,,,,left_only
Sunroof (Thomas Rhett Remix),Nicky Youre,Sunroof (Remixes),Moi,Playlist,USQX92203780,,,,,,left_only
1 Day 2 Nights,HRVY,1 Day 2 Nights,Moi,Playlist,GB5KW2101495,,,,,,left_only
Fiction,sumika,Chime,Moi,Playlist,JPU901900305,,,,,,left_only
Dance The Night,Dua Lipa,Barbie The Album,Moi,Playlist,USAT22305730,,,,,,left_only
Speed Drive,Charli XCX,Barbie The Album,Moi,Playlist,USAT22305732,,,,,,left_only
