File_Number,Value
50,784.31
50,784.31
50,797.39
50,771.24
50,784.31
50,777.78
50,784.31
50,764.71
50,777.78
60,797.39
60,803.92
60,803.92
60,797.39
60,790.85
60,784.31
60,784.31
60,803.92
70,790.85
70,790.85
70,784.31
70,803.92
70,810.46
70,790.85
70,797.39
70,790.85
80,555.56
80,529.41
80,522.88
80,529.41
100,496.73
100,509.80
100,522.88
100,549.02
120,470.59
120,437.91
120,444.44
120,444.44
120,437.91
